split,pair_id,group,test_img,temp_img,anno_file,classes
train,group77000_77000104,group77000,group77000/77000/77000104_test.jpg,group77000/77000/77000104_temp.jpg,group77000/77000_not/77000104.txt,mouse_bite;spurious_copper;pin_hole
train,group12300_12300076,group12300,group12300/12300/12300076_test.jpg,group12300/12300/12300076_temp.jpg,group12300/12300_not/12300076.txt,open_circuit;short_circuit;spurious_copper;pin_hole
train,group12300_12300065,group12300,group12300/12300/12300065_test.jpg,group12300/12300/12300065_temp.jpg,group12300/12300_not/12300065.txt,open_circuit;short_circuit;mouse_bite;spurious_copper;pin_hole
train,group13000_13000070,group13000,group13000/13000/13000070_test.jpg,group13000/13000/13000070_temp.jpg,group13000/13000_not/13000070.txt,mouse_bite;spur;spurious_copper;pin_hole
train,group13000_13000118,group13000,group13000/13000/13000118_test.jpg,group13000/13000/13000118_temp.jpg,group13000/13000_not/13000118.txt,open_circuit;short_circuit;mouse_bite;spur;spurious_copper;pin_hole
train,group44000_44000107,group44000,group44000/44000/44000107_test.jpg,group44000/44000/44000107_temp.jpg,group44000/44000_not/44000107.txt,open_circuit;short_circuit;mouse_bite;spur;spurious_copper;pin_hole
train,group90100_90100068,group90100,group90100/90100/90100068_test.jpg,group90100/90100/90100068_temp.jpg,group90100/90100_not/90100068.txt,open_circuit;short_circuit;mouse_bite;spur;spurious_copper
train,group00041_00041134,group00041,group00041/00041/00041134_test.jpg,group00041/00041/00041134_temp.jpg,group00041/00041_not/00041134.txt,open_circuit;mouse_bite;spur;spurious_copper;pin_hole
train,group44000_44000111,group44000,group44000/44000/44000111_test.jpg,group44000/44000/44000111_temp.jpg,group44000/44000_not/44000111.txt,open_circuit;short_circuit;mouse_bite;spur;spurious_copper;pin_hole
train,group50600_50600044,group50600,group50600/50600/50600044_test.jpg,group50600/50600/50600044_temp.jpg,group50600/50600_not/50600044.txt,open_circuit;short_circuit;mouse_bite;spur;spurious_copper;pin_hole
train,group00041_00041213,group00041,group00041/00041/00041213_test.jpg,group00041/00041/00041213_temp.jpg,group00041/00041_not/00041213.txt,open_circuit;short_circuit;spur;spurious_copper;pin_hole
train,group50600_50600061,group50600,group50600/50600/50600061_test.jpg,group50600/50600/50600061_temp.jpg,group50600/50600_not/50600061.txt,open_circuit;mouse_bite;spur;spurious_copper;pin_hole
train,group20085_20085094,group20085,group20085/20085/20085094_test.jpg,group20085/20085/20085094_temp.jpg,group20085/20085_not/20085094.txt,open_circuit;short_circuit;mouse_bite;spurious_copper
train,group20085_20085065,group20085,group20085/20085/20085065_test.jpg,group20085/20085/20085065_temp.jpg,group20085/20085_not/20085065.txt,open_circuit;short_circuit;mouse_bite
